,Info.Title,Info.description,Info.version,Info.contact.name,Info.contact.url,QueryName,TimeTaken(s),Date/Time,Date/TimeConverted,IPA#,Query#,QueryName(shortened)
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.25462913513183594,2021-04-13 02:30:13.454903,2021-04-12 19:30:13.454903-07:00,airr-seq,1.0,pass-field-organism-id.json
2,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-pcr_target_locus.json,0.2414228916168213,2021-04-13 02:30:13.706595,2021-04-12 19:30:13.706595-07:00,airr-seq,2.0,pass-field-pcr_target_locus.json
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.25490617752075195,2021-04-13 02:30:13.977568,2021-04-12 19:30:13.977568-07:00,airr-seq,3.0,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.23410654067993164,2021-04-13 02:30:14.219072,2021-04-12 19:30:14.219072-07:00,airr-seq,4.0,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.40042877197265625,2021-04-13 04:08:12.856867,2021-04-12 21:08:12.856867-07:00,airr-seq,0.0,pass-all.json
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.2561008930206299,2021-04-13 04:08:13.143770,2021-04-12 21:08:13.143770-07:00,airr-seq,1.0,pass-field-organism-id.json
2,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-pcr_target_locus.json,0.2443666458129883,2021-04-13 04:08:13.398151,2021-04-12 21:08:13.398151-07:00,airr-seq,2.0,pass-field-pcr_target_locus.json
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.25595712661743164,2021-04-13 04:08:13.669809,2021-04-12 21:08:13.669809-07:00,airr-seq,3.0,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.23673439025878906,2021-04-13 04:08:13.913800,2021-04-12 21:08:13.913800-07:00,airr-seq,4.0,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.2537121772766113,2021-04-13 06:30:13.467095,2021-04-12 23:30:13.467095-07:00,airr-seq,0.0,pass-all.json
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.2550992965698242,2021-04-13 06:30:13.755901,2021-04-12 23:30:13.755901-07:00,airr-seq,1.0,pass-field-organism-id.json
2,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-pcr_target_locus.json,0.24019551277160645,2021-04-13 06:30:14.006288,2021-04-12 23:30:14.006288-07:00,airr-seq,2.0,pass-field-pcr_target_locus.json
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.2557978630065918,2021-04-13 06:30:14.278215,2021-04-12 23:30:14.278215-07:00,airr-seq,3.0,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.2338736057281494,2021-04-13 06:30:14.519646,2021-04-12 23:30:14.519646-07:00,airr-seq,4.0,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.25633907318115234,2021-04-13 10:30:13.488740,2021-04-13 03:30:13.488740-07:00,airr-seq,0.0,pass-all.json
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.2561817169189453,2021-04-13 10:30:13.775832,2021-04-13 03:30:13.775832-07:00,airr-seq,1.0,pass-field-organism-id.json
2,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-pcr_target_locus.json,0.2418382167816162,2021-04-13 10:30:14.027686,2021-04-13 03:30:14.027686-07:00,airr-seq,2.0,pass-field-pcr_target_locus.json
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.2578737735748291,2021-04-13 10:30:14.307748,2021-04-13 03:30:14.307748-07:00,airr-seq,3.0,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.236053466796875,2021-04-13 10:30:14.554067,2021-04-13 03:30:14.554067-07:00,airr-seq,4.0,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.26174116134643555,2021-04-13 14:30:13.607999,2021-04-13 07:30:13.607999-07:00,airr-seq,0.0,pass-all.json
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.2580363750457764,2021-04-13 14:30:13.897464,2021-04-13 07:30:13.897464-07:00,airr-seq,1.0,pass-field-organism-id.json
